,Gene
418,Gramd1b
419,Gramd4
420,Grb10
421,Grcc10
422,Gsdme
423,Gsk3b
424,Gsn
425,Gstm1
426,H1f0
427,H2-D1
428,H2-DMa
429,H2-Eb1
430,H2-K1
431,H2-Q4
432,H2-Q6
433,H2-Q7
434,H2-T22
435,H2afx
436,H2afy
437,Hacd4
438,Haus4
439,Hbb-bs
440,Hbb-bt
441,Hcls1
442,Hdac7
443,Hdac9
444,Hdc
445,Heg1
446,Herc4
447,Hint1
448,Hip1
449,Hipk1
450,Hist1h1b
451,Hist1h2bc
452,Hist3h2ba
453,Hlf
454,Hmg20a
455,Hmga1b
456,Hmga2
457,Hmgb3
458,Hmgcr
459,Hmgn1
460,Hmgn2
461,Hmmr
462,Hnrnpab
463,Hnrnph1
464,Hook1
465,Hoxa7
466,Hoxa9
467,Hpcal1
468,Hsp90aa1
469,Hsp90b1
470,Hspa5
471,Hspa9
472,Hspbp1
473,Hspe1
474,Ica1
475,Id2
476,Ide
477,Ifi27
478,Ifi27l2a
479,Ifit1
480,Ifitm1
481,Ifitm2
482,Ifitm3
483,Ifitm6
484,Ifnar2
485,Ifngr2
486,Ifrd1
487,Igfbp4
488,Igfbp7
489,Ighm
490,Igll1
491,Igsf23
492,Iigp1
493,Ikbkap
494,Ikzf2
495,Il12a
496,Il15
497,Il17ra
498,Il18rap
499,Il1r1
500,Il1r2
501,Il6ra
502,Il6st
503,Il7r
504,Ilf2
505,Ilf3
506,Impact
507,Inhba
508,Ino80dos
509,Inpp4a
510,Inpp5d
511,Inpp5k
512,Ints14
513,Ipcef1
514,Ipo11
515,Iqgap1
516,Iqgap2
517,Iqsec1
518,Irf2
519,Irf7
520,Irf8
521,Irf9
522,Irgm2
523,Isg15
524,Itga2b
525,Itgal
526,Itih5
527,Itpkb
528,Itpr2
529,Itsn2
530,Jade1
531,Jak1
532,Jmjd1c
533,Kansl1l
534,Kat2b
535,Kat6b
536,Kcmf1
537,Kcnn4
538,Kctd18
539,Kdelr2
540,Kdm5a
541,Kdm5b
542,Kdm6b
543,Kdm7a
544,Khsrp
545,Kif11
546,Kif15
547,Kif20b
548,Kif21b
549,Kif2c
550,Kit
551,Klf13
552,Klf3
553,Klf5
554,Klf9
555,Klhl2
556,Klhl24
557,Klhl3
558,Klhl4
559,Klhl6
560,Klra2
561,Kmt2a
562,Kmt2c
563,Kmt2d
564,Knl1
565,Krtcap2
566,Ksr1
567,Ktn1
568,Laptm4a
569,Lasp1
570,Lat2
571,Lck
572,Lcn2
573,Ldlrad3
574,Lgals1
575,Lgals3
576,Lin28a
577,Litaf
578,Lmo2
579,Lmo4
580,Lmtk2
581,Lockd
582,Lpcat2
583,Lpp
584,Lrg1
585,Lrp6
586,Lrrc58
587,Lrrk2
588,Lsm5
589,Lsp1
590,Lst1
591,Ltf
592,Ly6d
593,Ly6e
594,Ly6g
595,Ly75
596,Ly86
597,Lyst
598,Lyz2
599,Mad2l1
600,Madd
601,Malat1
602,Maml1
603,Maml2
604,Maml3
605,Map3k5
606,Map4
607,Map4k4
608,Mapk13
609,Mapk1ip1l
610,Mapk8
611,March1
612,March7
613,Marf1
614,Mbnl2
615,Mboat7
616,Mcemp1
617,Mcm4
618,Mcm6
619,Mcm7
620,Mcmbp
621,Mcpt8
622,Mctp2
623,Mdga1
624,Mea1
625,Mecom
626,Med12l
627,Med13l
628,Mef2a
629,Mef2c
630,Mef2d
631,Meis1
632,Melk
633,Mfsd6
634,Mgam
635,Mgrn1
636,Mgst1
637,Mier1
638,Mif
639,Milr1
640,Mindy2
641,Mir142hg
642,Mirt1
643,Mis18bp1
644,Mitf
645,Mki67
646,Mllt3
647,Mmgt2
648,Mmp8
649,Mms19
650,Mndal
651,Mob3a
652,Mob3b
653,Morc2a
654,Mphosph6
655,Mpl
656,Mpo
657,Mpped2
658,Mrpl12
659,Mrpl42
660,Mrpl52
661,Mrps27
662,Ms4a2
663,Ms4a3
664,Ms4a6c
665,Msi2
666,Mt1
667,Mtdh
668,Mtmr12
669,Mtmr2
670,Mtmr3
671,Mtmr6
672,Mtmr9
673,Mtss1
674,Muc13
675,Mxd1
676,Mxd3
677,Mxd4
678,Myb
679,Myc
680,Mycbp2
681,Myct1
682,Myh9
683,Mylip
684,Naip5
685,Nans
686,Napg
687,Narf
688,Nasp
689,Nbdy
690,Ncam1
691,Ncapd2
692,Ncf2
693,Ncl
694,Ncoa3
695,Ndc1
696,Ndfip1
697,Ndrg1
698,Ndufa4
699,Nedd4
700,Nedd9
701,Nenf
702,Nfam1
703,Nfat5
704,Nfatc1
705,Nfia
706,Nfic
707,Nfkb1
708,Nfkbia
709,Nfxl1
710,Ngp
711,Nhp2
712,Nhsl2
713,Nkg7
714,Nlrc5
715,Nmi
716,Nmt2
717,Nop10
718,Nop53
719,Notch1
720,Notch2
721,Npm1
722,Nr1d2
723,Nr3c1
724,Nrgn
725,Nrip1
726,Nrm
727,Nsd3
728,Nsmce1
729,Nubp1
730,Nucks1
731,Nudc
732,Nudt21
733,Nufip2
734,Nup98
735,Nvl
736,Nxpe3
737,Oas1a
738,Oas1g
739,Oas2
740,Oas3
741,Oasl1
742,Oasl2
743,Oaz2
744,Ogt
745,Olfm4
746,Olfml2b
747,Olr1
748,Orai2
749,Orm1
750,Osbpl1a
751,Osbpl9
752,Oscp1
753,Otud7b
754,P2ry14
755,Pacs1
756,Padi2
757,Padi4
758,Pag1
759,Paip1
760,Paip2
761,Pan3
762,Parp9
763,Pbx1
764,Pbx3
