"","waldStat","df","pvalue","padj"
"Mtch2",0.848761703511222,4,0.93179390339255,1
"Celf1",0.60211913205125,4,0.962827912294802,1
"Rapsn",1.93283660147935,3,0.586463060447248,1
"Psmc3",0,4,1,1
"Spi1",0,4,1,1
"Acp2",0.369594708437226,2,0.831272720695073,1
"Arfgap2",2.05744439108488,4,0.725194009216766,1
"Lrp4",3.54950742482917,4,0.470390667808054,1
"Ckap5",3.4733569784425,4,0.481941021535523,1
"Arhgap1",0.0338601680589223,4,0.999858293448082,1
"Ambra1",0,2,1,1
"Phf21a",0.335138172037545,4,0.987434411755172,1
"Pex16",4.48471911120965,4,0.344363245347753,1
"Traf6",4.61155988327124,4,0.329523532827071,1
"Commd9",0.373378965974448,4,0.984597845617042,1
"Apip",3.106914433955,4,0.540095661238417,1
"Lmo2",0.554350583664774,4,0.967998776419872,1
"Fbxo3",0,4,1,1
"Cstf3",0.000418435904604015,4,0.999999978116977,1
"Immp1l",0.312968000501794,4,0.988961741346833,1
"Kif18a",0.217244972869808,4,0.994510875596693,1
"Lin7c",0,4,1,1
"Ccdc34",5.06764993238892,4,0.280426359336233,1
"Lpcat4",0,4,1,1
"Nop10",0.107473102319956,4,0.99860688753834,1
"Katnbl1",0.957442985466725,4,0.916178893718126,1
"Emc7",3.24831777000363,4,0.517162332153463,1
"Aven",11.9499019201884,3,0.00755676055099386,0.327049005565388
"Spred1",0.0119810733594117,2,0.994027370808817,1
"Fam98b",0.10081254438344,4,0.998771498264918,1
"Thbs1",3.45839541377015,4,0.484232545791436,1
"Eif2ak4",0.0854515349922127,4,0.99911284105204,1
"Bub1b",1.00877684317873,4,0.908462226060809,1
"Inafm2",5.9999049884542,4,0.199155369103306,1
"Ivd",1.29630088330497,2,0.523012224360315,1
"Bahd1",16.4114383934158,4,0.00251396459013653,0.14331546973538
"Knl1",21.2479546564449,2,2.43256957456195e-05,0.00313844151777694
"Zfyve19",0.987158443144999,4,0.911736897542884,1
